0,1,2,3,4
"Census Tract 5615, Allegheny County, Pennsylvania",2911,42,003,561500
"Census Tract 5616, Allegheny County, Pennsylvania",2131,42,003,561600
"Census Tract 5617, Allegheny County, Pennsylvania",890,42,003,561700
"Census Tract 5619, Allegheny County, Pennsylvania",2581,42,003,561900
"Census Tract 5620, Allegheny County, Pennsylvania",2705,42,003,562000
"Census Tract 5623, Allegheny County, Pennsylvania",3831,42,003,562300
"Census Tract 5624, Allegheny County, Pennsylvania",2741,42,003,562400
"Census Tract 5625, Allegheny County, Pennsylvania",2996,42,003,562500
"Census Tract 5626, Allegheny County, Pennsylvania",2617,42,003,562600
"Census Tract 5627, Allegheny County, Pennsylvania",1758,42,003,562700
"Census Tract 5628, Allegheny County, Pennsylvania",1647,42,003,562800
"Census Tract 5629, Allegheny County, Pennsylvania",1908,42,003,562900
"Census Tract 5630, Allegheny County, Pennsylvania",3116,42,003,563000
"Census Tract 5631, Allegheny County, Pennsylvania",3938,42,003,563100
"Census Tract 5632, Allegheny County, Pennsylvania",2160,42,003,563200
"Census Tract 5633, Allegheny County, Pennsylvania",1401,42,003,563300
"Census Tract 5638, Allegheny County, Pennsylvania",3616,42,003,563800
"Census Tract 5639, Allegheny County, Pennsylvania",3979,42,003,563900
"Census Tract 5640, Allegheny County, Pennsylvania",5949,42,003,564000
"Census Tract 5641, Allegheny County, Pennsylvania",914,42,003,564100
"Census Tract 5642, Allegheny County, Pennsylvania",2212,42,003,564200
"Census Tract 5644, Allegheny County, Pennsylvania",5508,42,003,564400
"Census Tract 5645, Allegheny County, Pennsylvania",2984,42,003,564500
"Census Tract 9800, Allegheny County, Pennsylvania",257,42,003,980000
"Census Tract 9801, Allegheny County, Pennsylvania",26,42,003,980100
"Census Tract 9803, Allegheny County, Pennsylvania",0,42,003,980300
"Census Tract 9804, Allegheny County, Pennsylvania",0,42,003,980400
"Census Tract 9805, Allegheny County, Pennsylvania",17,42,003,980500
"Census Tract 9806, Allegheny County, Pennsylvania",4,42,003,980600
