"","NAME","state","county","tract","B05004_001E"
"345","Census Tract 5261.02, Allegheny County, Pennsylvania","42","003","526102",44
"346","Census Tract 5262.01, Allegheny County, Pennsylvania","42","003","526201",46.1
"347","Census Tract 5262.02, Allegheny County, Pennsylvania","42","003","526202",44.2
"348","Census Tract 5263.01, Allegheny County, Pennsylvania","42","003","526301",42.8
"349","Census Tract 5263.02, Allegheny County, Pennsylvania","42","003","526302",39.6
"350","Census Tract 5509, Allegheny County, Pennsylvania","42","003","550900",42.5
"351","Census Tract 5512, Allegheny County, Pennsylvania","42","003","551200",38.8
"352","Census Tract 5513, Allegheny County, Pennsylvania","42","003","551300",53.1
"353","Census Tract 5519, Allegheny County, Pennsylvania","42","003","551900",43.8
"354","Census Tract 5520, Allegheny County, Pennsylvania","42","003","552000",35.7
"355","Census Tract 5521, Allegheny County, Pennsylvania","42","003","552100",50.9
"356","Census Tract 5522, Allegheny County, Pennsylvania","42","003","552200",53.2
"357","Census Tract 5523, Allegheny County, Pennsylvania","42","003","552300",37.4
"358","Census Tract 5524, Allegheny County, Pennsylvania","42","003","552400",43.6
"359","Census Tract 5604, Allegheny County, Pennsylvania","42","003","560400",38.6
"360","Census Tract 5605, Allegheny County, Pennsylvania","42","003","560500",36.1
"361","Census Tract 5606, Allegheny County, Pennsylvania","42","003","560600",35.3
"362","Census Tract 5610, Allegheny County, Pennsylvania","42","003","561000",29.1
"363","Census Tract 5611, Allegheny County, Pennsylvania","42","003","561100",36.8
