NAME,total_pop,male_pop,female_pop,median_age,median_income,state,county,tract,male_percent,female_percent,mean_travel_time,total_commute,car_truck_van,car_truck_van_alone,car_truck_van_carpooled,public_transport,walked,bycicle
"Census Tract 4090, Allegheny County, Pennsylvania",12477,6300,6177,41.4,131484,42,3,409000,0.504929069,0.495070931,30.6,5954,86.8,79.5,7.3,3.6,1.2,0.3
"Census Tract 4100, Allegheny County, Pennsylvania",1230,667,563,46.6,103750,42,3,410000,0.542276423,0.457723577,29.2,563,89.3,86.9,2.5,2.1,1.1,0
"Census Tract 4110, Allegheny County, Pennsylvania",7914,4034,3880,41.7,114917,42,3,411000,0.509729593,0.490270407,27.3,3658,86.2,77.9,8.3,0.9,0,2.2
"Census Tract 4120.01, Allegheny County, Pennsylvania",8875,4572,4303,43.1,115756,42,3,412001,0.51515493,0.48484507,29.5,4100,88.7,82.1,6.6,1.5,0.7,0
"Census Tract 4120.02, Allegheny County, Pennsylvania",5353,2739,2614,42.6,133884,42,3,412002,0.511675696,0.488324304,27,2691,90.3,80.1,10.2,1.3,0.9,0
"Census Tract 4131, Allegheny County, Pennsylvania",7148,3509,3639,41,104085,42,3,413100,0.490906547,0.509093453,26.1,3409,91.3,78.9,12.4,2.3,0.3,0
"Census Tract 4132.01, Allegheny County, Pennsylvania",3593,1610,1983,45.6,73750,42,3,413201,0.448093515,0.551906485,24.1,1947,93.2,81,12.1,2.1,0.5,0
"Census Tract 4132.02, Allegheny County, Pennsylvania",2750,1279,1471,46.7,71000,42,3,413202,0.465090909,0.534909091,28.2,1329,89.7,86.1,3.6,1.5,3.5,0
"Census Tract 4133, Allegheny County, Pennsylvania",4694,2225,2469,47.3,76932,42,3,413300,0.474009374,0.525990626,25.8,2333,92.5,84.6,7.8,1.6,0.8,0.3
"Census Tract 4134, Allegheny County, Pennsylvania",4292,2006,2286,47,88173,42,3,413400,0.467381174,0.532618826,26.5,2051,88.2,82,6.2,4.3,0.7,0
